TERM,MEANING
Gold (Web) (Golden),RGB #ffd700
Golden Brown,RGB #996515
Golden Poppy,RGB #fcc200
Golden Yellow,RGB #ffdf00
Goldenrod,RGB #daa520
Granny Smith Apple,RGB #a8e4a0
Gray,RGB #808080
Gray-Asparagus,RGB #465945
Gray (Html/Css Gray),RGB #808080
Gray (X11 Gray),RGB #bebebe
Green (Color Wheel) (X11 Green),RGB #0f0
Green (Crayola),RGB #1cac78
Green (Html/Css Green),RGB #008000
Green (Munsell),RGB #00a877
Green (Ncs),RGB #009f6b
Green (Pigment),RGB #00a550
Green (Ryb),RGB #66b032
Green-Yellow,RGB #adff2f
Grullo,RGB #a99a86
Guppie Green,RGB #00ff7f
Halayà úBe,RGB #663854
Han Blue,RGB #446ccf
Han Purple,RGB #5218fa
Hansa Yellow,RGB #e9d66b
Harlequin,RGB #3fff00
Harvard Crimson,RGB #c90016
Harvest Gold,RGB #da9100
Heart Gold,RGB #808000
Heliotrope,RGB #df73ff
Hollywood Cerise,RGB #f400a1
Honeydew,RGB #f0fff0
Honolulu Blue,RGB #007fbf
Hooker'S Green,RGB #49796b
Hot Magenta,RGB #ff1dce
Hot Pink,RGB #ff69b4
Hunter Green,RGB #355e3b
Iceberg,RGB #71a6d2
Icterine,RGB #fcf75e
Imperial Blue,RGB #002395
Inchworm,RGB #b2ec5d
India Green,RGB #138808
Indian Red,RGB #cd5c5c
Indian Yellow,RGB #e3a857
Indigo,RGB #6f00ff
Indigo (Dye),RGB #00416a
Indigo (Web),RGB #4b0082
International Klein Blue,RGB #002fa7
International Orange (Aerospace),RGB #ff4f00
International Orange (Engineering),RGB #ba160c
International Orange (Golden Gate Bridge),RGB #c0362c
Iris,RGB #5a4fcf
Isabelline,RGB #f4f0ec
Islamic Green,RGB #009000
Ivory,RGB #fffff0
Jade,RGB #00a86b
Jasmine,RGB #f8de7e
Jasper,RGB #d73b3e
Jazzberry Jam,RGB #a50b5e
Jet,RGB #343434
Jonquil,RGB #fada5e
June Bud,RGB #bdda57
Jungle Green,RGB #29ab87
Kelly Green,RGB #4cbb17
Kenyan Copper,RGB #7c1c05
Khaki (Html/Css) (Khaki),RGB #c3b091
Khaki (X11) (Light Khaki),RGB #f0e68c
Ku Crimson,RGB #e8000d
La Salle Green,RGB #087830
Languid Lavender,RGB #d6cadd
Lapis Lazuli,RGB #26619c
Laser Lemon,RGB #fefe22
Laurel Green,RGB #a9ba9d
Lava,RGB #cf1020
Lavender Blue,RGB #ccf
Lavender Blush,RGB #fff0f5
Lavender (Floral),RGB #b57edc
Lavender Gray,RGB #c4c3d0
Lavender Indigo,RGB #9457eb
Lavender Magenta,RGB #ee82ee
Lavender Mist,RGB #e6e6fa
Lavender Pink,RGB #fbaed2
Lavender Purple,RGB #967bb6
Lavender Rose,RGB #fba0e3
Lavender (Web),RGB #e6e6fa
Lawn Green,RGB #7cfc00
Lemon,RGB #fff700
Lemon Chiffon,RGB #fffacd
Lemon Lime,RGB #e3ff00
Licorice,RGB #1a1110
Light Apricot,RGB #fdd5b1
Light Blue,RGB #add8e6
Light Brown,RGB #b5651d
Light Carmine Pink,RGB #e66771
Light Coral,RGB #f08080
Light Cornflower Blue,RGB #93ccea
Light Crimson,RGB #f56991
Light Cyan,RGB #e0ffff
Light Fuchsia Pink,RGB #f984ef
Light Goldenrod Yellow,RGB #fafad2
Light Gray,RGB #d3d3d3
Light Green,RGB #90ee90
Light Khaki,RGB #f0e68c
Light Pastel Purple,RGB #b19cd9
Light Pink,RGB #ffb6c1
Light Red Ochre,RGB #e97451
Light Salmon,RGB #ffa07a
Light Salmon Pink,RGB #f99
Light Sea Green,RGB #20b2aa
Light Sky Blue,RGB #87cefa
Light Slate Gray,RGB #789
Light Taupe,RGB #b38b6d
Light Thulian Pink,RGB #e68fac
Light Yellow,RGB #ffffe0
Lilac,RGB #c8a2c8
Lime (Color Wheel),RGB #bfff00
Lime Green,RGB #32cd32
Lime (Web) (X11 Green),RGB #0f0
Limerick,RGB #9dc209
Lincoln Green,RGB #195905
Linen,RGB #faf0e6
Lion,RGB #c19a6b
Little Boy Blue,RGB #6ca0dc
Liver,RGB #534b4f
Lust,RGB #e62020
Magenta,RGB #f0f
Magenta (Dye),RGB #ca1f7b
Magenta (Process),RGB #ff0090
Magic Mint,RGB #aaf0d1
Magnolia,RGB #f8f4ff
Mahogany,RGB #c04000
Maize,RGB #fbec5d
Majorelle Blue,RGB #6050dc
Malachite,RGB #0bda51
Manatee,RGB #979aaa
Mango Tango,RGB #ff8243
Mantis,RGB #74c365
Mardi Gras,RGB #880085
Maroon (Crayola),RGB #c32148
Maroon (Html/Css),RGB #800000
Maroon (X11),RGB #b03060
Mauve,RGB #e0b0ff
Mauve Taupe,RGB #915f6d
Mauvelous,RGB #ef98aa
Maya Blue,RGB #73c2fb
Meat Brown,RGB #e5b73b
Medium Aquamarine,RGB #6da
Medium Blue,RGB #0000cd
Medium Candy Apple Red,RGB #e2062c
Medium Carmine,RGB #af4035
Medium Champagne,RGB #f3e5ab
Medium Electric Blue,RGB #035096
Medium Jungle Green,RGB #1c352d
Medium Lavender Magenta,RGB #dda0dd
Medium Orchid,RGB #ba55d3
Medium Persian Blue,RGB #0067a5
Medium Purple,RGB #9370db
Medium Red-Violet,RGB #bb3385
Medium Ruby,RGB #aa4069
Medium Sea Green,RGB #3cb371
Medium Slate Blue,RGB #7b68ee
Medium Spring Bud,RGB #c9dc87
Medium Spring Green,RGB #00fa9a
Medium Taupe,RGB #674c47
Medium Turquoise,RGB #48d1cc
Medium Tuscan Red,RGB #79443b
Medium Vermilion,RGB #d9603b
Medium Violet-Red,RGB #c71585
Mellow Apricot,RGB #f8b878
Mellow Yellow,RGB #f8de7e
Melon,RGB #fdbcb4
Midnight Blue,RGB #191970
Midnight Green (Eagle Green),RGB #004953
Mikado Yellow,RGB #ffc40c
Mint,RGB #3eb489
Mint Cream,RGB #f5fffa
Mint Green,RGB #98ff98
Misty Rose,RGB #ffe4e1
Moccasin,RGB #faebd7
Mode Beige,RGB #967117
Moonstone Blue,RGB #73a9c2
Mordant Red 19,RGB #ae0c00
Moss Green,RGB #addfad
Mountain Meadow,RGB #30ba8f
Mountbatten Pink,RGB #997a8d
Msu Green,RGB #18453b
Mulberry,RGB #c54b8c
Mustard,RGB #ffdb58
Myrtle,RGB #21421e
Nadeshiko Pink,RGB #f6adc6
Napier Green,RGB #2a8000
Naples Yellow,RGB #fada5e
Navajo White,RGB #ffdead
Navy Blue,RGB #000080
Neon Carrot,RGB #ffa343
Neon Fuchsia,RGB #fe4164
Neon Green,RGB #39ff14
New York Pink,RGB #d7837f
Non-Photo Blue,RGB #a4dded
North Texas Green,RGB #059033
Ocean Boat Blue,RGB #0077be
Ochre,RGB #c72
Office Green,RGB #008000
Old Gold,RGB #cfb53b
Old Lace,RGB #fdf5e6
Old Lavender,RGB #796878
Old Mauve,RGB #673147
Old Rose,RGB #c08081
Olive,RGB #808000
