TERM,MEANING
Wenge,RGB #645452
Wheat,RGB #f5deb3
White,RGB #fff
White Smoke,RGB #f5f5f5
Wild Blue Yonder,RGB #a2add0
Wild Strawberry,RGB #ff43a4
Wild Watermelon,RGB #fc6c85
Wine,RGB #722f37
Wine Dregs,RGB #673147
Wisteria,RGB #c9a0dc
Wood Brown,RGB #c19a6b
Xanadu,RGB #738678
Yale Blue,RGB #0f4d92
Yellow,RGB #ff0
Yellow-Green,RGB #9acd32
Yellow (Munsell),RGB #efcc00
Yellow (Ncs),RGB #ffd300
Yellow Orange,RGB #ffae42
Yellow (Process),RGB #ffef00
Yellow (Ryb),RGB #fefe33
Zaffre,RGB #0014a8
Zinnwaldite Brown,RGB #2c1608
